,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.08180416163716854,0.047412003956496265,0.11888663480540099,0.057056615000216436
1,3,0.1044646313849076,0.0616429197683239,0.15300395748334072,0.07427506525406105
2,6,0.1144643816923094,0.06830446602833525,0.16685213583978828,0.08186725551761204
3,9,0.12189457949704006,0.07247035038687796,0.1775421715715671,0.08698619524480619
4,12,0.1284960141631628,0.07607731801317572,0.18513197805475975,0.09077944034034245
5,15,0.13202086365229188,0.07849365186138861,0.19076890973681704,0.09377174085770529
6,18,0.13565563496296745,0.08101860853795766,0.1941772881287408,0.09619079686904138
7,21,0.13816180920097026,0.08250653510996513,0.19895378680499257,0.09824302354697423
8,24,0.14107583026785095,0.08433955085188746,0.2020681454049506,0.10014466090837781
9,27,0.14401022946077735,0.08593700461132148,0.20691937301371716,0.10224913064540778
10,30,0.14668313308668376,0.08730651919110921,0.21002854478453467,0.10372110474101269
11,33,0.14710316550598082,0.0878883604575573,0.21233475617174385,0.10484639176489774
12,36,0.14919303605566345,0.08914213224433012,0.2149848659771023,0.1061599283160755
13,39,0.1521695949689283,0.09037021500544058,0.21719484489751667,0.10726714135984082
14,42,0.15471154516112443,0.0913850958261422,0.2200332122994658,0.10833285735241643
15,45,0.15495924548829593,0.09205919973677001,0.22149316304813765,0.10933278069029098
16,48,0.15619144566689036,0.09284137496632494,0.22225978008752056,0.11006831767445212
17,51,0.1568616723699006,0.09334250739719491,0.22562871197958628,0.11126802773005152
18,54,0.15794107909952695,0.09441780428018524,0.22711025436956017,0.11236875611918726
19,57,0.16017599395514892,0.09537370356102194,0.22799609449363256,0.11300706269832154
20,60,0.16116975718853882,0.09582691647312065,0.22969567896744625,0.11369966088099134
21,63,0.16211454456267543,0.0962661156577971,0.2310129301701678,0.1142006475655026
22,66,0.16229104838451197,0.09675288927231097,0.23208764138400015,0.11491467489019357
23,69,0.16441990834856823,0.09770095647806289,0.23388605845256963,0.11575951070568297
24,72,0.1650523270397698,0.09820768089586092,0.23464716611810346,0.11626885612025
25,75,0.1660060803675094,0.09834116637741339,0.2362059087066703,0.11655829641159404
26,78,0.16666560281186826,0.09870093081201137,0.2363718882075204,0.11691197099349686
27,81,0.16782561390587217,0.09937673118155377,0.2381501206463614,0.11767259004464073
28,84,0.16842544391505967,0.09954123614026818,0.24046221421454733,0.11830905828109266
29,87,0.1679523855423531,0.09981725610872834,0.2397072558282798,0.11852901616788372
30,90,0.16916773341177185,0.09996816062474637,0.23980708479273644,0.11842523793502693
31,93,0.16994272398022026,0.10038804558609914,0.2419721157337344,0.11909860148484676
32,96,0.16972843662462125,0.1008831849724135,0.24071129998476895,0.11937829544482158
33,99,0.17125838812579713,0.10110454497051423,0.24153791414640194,0.1193647900749485
34,102,0.16994686876747572,0.10109121355342869,0.24331709514907623,0.12016675689453737
35,105,0.16985752334533133,0.10121567817254039,0.24411024602606202,0.1204574443614276
36,108,0.17374132424854818,0.10262809035736153,0.2459711374851102,0.12141291073625352
37,111,0.17252520749713168,0.10199031731487558,0.24632174764371662,0.1211872985153142
38,114,0.17174520069094174,0.10227605716095117,0.24586444058241158,0.12154715930378539
39,117,0.17461348161935536,0.10330350679937982,0.24698459992645214,0.12220999272454416
40,120,0.17405171522635238,0.10289184329161898,0.24752074004604666,0.12208997522883598
41,123,0.1733616603552006,0.10330180297436446,0.2489596289802028,0.12293533142541846
42,126,0.1750236149878648,0.10393959334883611,0.24926366826658347,0.12326984600685177
43,129,0.1741897972535332,0.10375486649124854,0.24942356505675004,0.12331017955386826
44,132,0.17726336626241507,0.10482887439607567,0.25213648092983704,0.1242939729868156
45,135,0.17679719581983064,0.10501276278177048,0.2510756431548995,0.12434351016745365
46,138,0.17675191081861624,0.10522660343222373,0.25260400494319785,0.12490935094524554
47,141,0.17638377641838668,0.1048184447755656,0.2521309563450144,0.12447831510455133
48,144,0.17574476730421262,0.10530374299069901,0.2514751643013817,0.12494802209250169
49,147,0.1771690423198777,0.10539532508936453,0.25062018739359476,0.12455938600160477
50,150,0.17621052941333815,0.10533806138592103,0.2523364676896531,0.12509463779266186
51,153,0.17677273854813538,0.10531311921362788,0.2523331876199175,0.1248936332194963
52,156,0.17745559515538067,0.10566903273926406,0.2528171881283955,0.12525577912952357
53,159,0.1762177501032054,0.1053142409313102,0.25334314549929976,0.1253606725315125
54,162,0.17607769312898597,0.10520193977816061,0.25377405168092315,0.12539576225051047
55,165,0.17742901785603232,0.10588270444771858,0.25398137235916424,0.12578402431542354
56,168,0.17709236987889662,0.10563873813037393,0.25425471148134926,0.12560727315273776
57,171,0.17740656525955897,0.10589718698651492,0.2540943869080314,0.125808033362852
58,174,0.1781391632337175,0.1060318953068917,0.25397931173613464,0.12579136873345464
59,177,0.17821091331685857,0.10617338056844765,0.25388132754871406,0.12587057474743918
60,180,0.1790799248363557,0.1063548001554404,0.2549779651625264,0.12608926583295557
61,183,0.17845206811721465,0.10616878158530738,0.2558161901931288,0.12624500365127803
62,186,0.17893576778103018,0.10628883720754179,0.25526423443604024,0.12618265759597663
63,189,0.17987365293159624,0.10665173157089332,0.2551045624439766,0.12622925500632118
64,192,0.17916843345405364,0.10635101216743754,0.2557701887317271,0.12622846109958558
65,195,0.17895744566581073,0.10615922506130561,0.2558023785674759,0.12620255210969586
66,198,0.1789523113360829,0.10665893052725602,0.25549696737767896,0.12659969694341364
67,201,0.18033067563632457,0.10713891010360486,0.25658327598466296,0.12697946008574143
68,204,0.18125946820870337,0.10726723223675613,0.25589709863666077,0.1267030419345938
69,207,0.18015351030988483,0.10676976608512402,0.2559912249879304,0.12653146688562308
70,210,0.18048132175561277,0.10717820014233297,0.25688409460302897,0.12711716199548906
71,213,0.18057250068074412,0.1073854178789185,0.2563223047993222,0.12715841190464347
72,216,0.18010272257098428,0.10684268094401954,0.25665812083822825,0.12671786397069995
73,219,0.1793804696302713,0.10685898325690905,0.25636423191694263,0.12695692344941856
74,222,0.1809030314803629,0.10700815466603213,0.25768481950374356,0.12705447935431347
