,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.178404326345045,0.21058457513051027,0.25897808703409664,0.2279317937442682
1,3,0.21233337932106558,0.25014088328753037,0.3071436209830226,0.272201870216948
2,6,0.22243002770639622,0.2593168388660228,0.321658582693207,0.282994754725314
3,9,0.22473146643919834,0.26372391168855497,0.3261085521107849,0.288034080779177
4,12,0.22912463558663643,0.270553629578263,0.33165773498309503,0.2948553881630866
5,15,0.2330844236488666,0.2760738025639141,0.33776358498304737,0.3007590950862386
6,18,0.23667879238809647,0.2810757821297675,0.34230720062132797,0.3058251940869671
7,21,0.23912607642087677,0.28465695387011436,0.346460603349424,0.3097420863554019
8,24,0.24156657782223742,0.2875878225005383,0.34923417663581274,0.3125990649730121
9,27,0.24383519638062515,0.2902508778964918,0.3526025724128908,0.31562291515279683
10,30,0.24546657609651154,0.2922016617726126,0.3550024779975024,0.3176734307710196
11,33,0.2472702552462462,0.29454548424829036,0.35781957521268765,0.3203280062914725
12,36,0.24890714998229238,0.2963079033057415,0.3600922423873118,0.3222989181683594
13,39,0.25014732104155,0.29812957229272125,0.3622337590184566,0.324404982444499
14,42,0.2518928600284087,0.3000115745266818,0.36404042639818884,0.32615587467145
15,45,0.25331109943338004,0.30166703440553794,0.36621914713419357,0.32804904679777874
16,48,0.2545641881030698,0.3030380238691445,0.36760175664857847,0.3293126975483813
17,51,0.2546970181842088,0.30377943969260385,0.3684639368826042,0.3303620557025721
18,54,0.2559149412195432,0.3050496262232927,0.3700144715614275,0.33162183873637585
19,57,0.2561781929161387,0.30566587648585003,0.370858502309459,0.332420177442382
20,60,0.2574614647127683,0.3068899346385276,0.3722725048783302,0.333710157094402
21,63,0.25823038949210225,0.3078191049872095,0.37303428587565346,0.33470642450301225
22,66,0.2587280969171182,0.30857784324455423,0.37435331468388033,0.3356634808261011
23,69,0.2593674722109319,0.3092697399540829,0.3754134535272143,0.3364920542763308
24,72,0.260146961200122,0.3099569076651151,0.37676442179863595,0.3374460048354153
25,75,0.260462607583658,0.31068588659057694,0.3772800618069711,0.33806749899508753
26,78,0.2609923684069867,0.31107442677681924,0.37821283908762204,0.3387285749303945
27,81,0.26170317933723913,0.3118234723259762,0.37888502427259213,0.3393257122786782
28,84,0.26251069436740015,0.3122396316462135,0.3795628410317769,0.3396932150555924
29,87,0.2629715347758723,0.3128113170222446,0.3805405567201753,0.34042878421666173
30,90,0.2631868992967711,0.3132978845371026,0.38129613016199554,0.34098827147019745
31,93,0.2640229657309652,0.31430389600252434,0.3820020545824436,0.3419221707900828
32,96,0.26429195542724704,0.31476931738490777,0.38267986542007876,0.34251186064261185
33,99,0.26493794450259084,0.3155166520420942,0.3833044556175601,0.3431063131492521
34,102,0.26550912641016844,0.3158580161783475,0.3835809684848513,0.343475644486178
35,105,0.26559870877441405,0.3164110432476811,0.383868637156205,0.34409493922367257
36,108,0.26595120337159706,0.3161399365173382,0.38482124924819644,0.34412571002150333
37,111,0.2663969945746098,0.31654997374596444,0.3854796275912368,0.3446543547264667
38,114,0.26719692071837464,0.3172095479817392,0.38613488520019235,0.34520549223309327
39,117,0.26724011450746404,0.3173129521503579,0.3865526910369756,0.34552087219864813
40,120,0.26748783116560665,0.31770867654956664,0.38725019127391097,0.3459378271915943
41,123,0.2680335403658292,0.318285007061895,0.38745349074732344,0.34639571062063346
42,126,0.26822469225214335,0.3184458292922255,0.38788139140691397,0.34672179982506274
43,129,0.2689111847618961,0.3191241214879633,0.3882867265598121,0.3471962780863245
44,132,0.2692648059808392,0.31928315510719896,0.3887725972466525,0.34727821471288567
45,135,0.2696537392114865,0.3196878508100072,0.38916261962720894,0.3476767782319633
46,138,0.2696715523329119,0.3201527870603145,0.389327828985732,0.34825468599453113
47,141,0.2698126738554215,0.3204275170409887,0.3897489150080974,0.3486248639848754
48,144,0.26993013042409825,0.32061209043898437,0.3901814085639757,0.34884911503517285
49,147,0.27014391938956334,0.32059355050802096,0.39064973142075043,0.34908710110816293
50,150,0.2707158562115162,0.3213787771962913,0.3909962854115194,0.34963869541208015
51,153,0.27119114454550786,0.3218799995251512,0.3912474408529588,0.3501031173926513
52,156,0.2715371868342812,0.3217903901306075,0.3913818469449882,0.3500331350009933
53,159,0.271480607091976,0.3219908036211177,0.39169638496255244,0.35037720250347415
54,162,0.27161577106865537,0.3220414155763086,0.3919570426066732,0.3504486708270087
55,165,0.2713303139189564,0.32202191869331975,0.39247925735728134,0.35074413208171584
56,168,0.27135354330251354,0.32205264639261444,0.39274613435183475,0.35087226946428884
57,171,0.2716820655515962,0.32245134580562007,0.3930012602562237,0.351170359264679
58,174,0.2721826520485436,0.32268758896385624,0.39311925379154766,0.35122820268618005
59,177,0.2718987856217941,0.32222620738632846,0.39293719367207997,0.3507772286003324
60,180,0.27186475132287063,0.32251197328698833,0.39324768569125446,0.3510988329661247
61,183,0.2721539963612415,0.3226457726485671,0.39317104374189216,0.35107854035232117
62,186,0.2724117685477221,0.3228487149019085,0.3937455768259496,0.35144312861297977
63,189,0.27243896195869055,0.32314513138154505,0.3936517552661465,0.35162409154225355
64,192,0.2726874715542606,0.3231381981550946,0.39416580581924826,0.3518453544634712
65,195,0.27286738777086833,0.3233923796075139,0.3940712042394033,0.3520296584552475
66,198,0.2723677499827601,0.3232492544600654,0.39425066897057454,0.3521072870875149
67,Final,0.27264468480648707,0.32357194513529125,0.3940925462302038,0.3522343745571863
